
="",="(1)",="(2)",="(3)",="(4)"

="0.exp#c.urate",="-0.539***",="-0.297***",="-2.132***",="-0.736***"
="",="(0.0273)",="(0.0271)",="(0.144)",="(0.0345)"

="1.exp#c.urate",="-0.486***",="-0.303***",="-2.080***",="-0.642***"
="",="(0.0311)",="(0.0258)",="(0.186)",="(0.0445)"

="2.exp#c.urate",="-0.274***",="-0.203***",="-1.898***",="-0.440***"
="",="(0.0244)",="(0.0175)",="(0.189)",="(0.0501)"

="3.exp#c.urate",="-0.201***",="-0.151***",="-1.983***",="-0.439***"
="",="(0.0193)",="(0.0168)",="(0.161)",="(0.0677)"

="4.exp#c.urate",="-0.176***",="-0.148***",="-2.063***",="-0.380***"
="",="(0.0314)",="(0.0195)",="(0.193)",="(0.0734)"

="5.exp#c.urate",="-0.118***",="-0.0879***",="-2.128***",="-0.357***"
="",="(0.0281)",="(0.0185)",="(0.218)",="(0.0850)"

="6.exp#c.urate",="-0.0972***",="-0.108***",="-1.784***",="-0.368***"
="",="(0.0193)",="(0.0156)",="(0.151)",="(0.0778)"

="7.exp#c.urate",="-0.0942***",="-0.0999***",="-1.952***",="-0.218**"
="",="(0.0193)",="(0.0167)",="(0.215)",="(0.0670)"

="8.exp#c.urate",="-0.0685**",="-0.0607**",="-2.073***",="-0.245**"
="",="(0.0242)",="(0.0180)",="(0.203)",="(0.0742)"

="9.exp#c.urate",="-0.0470",="-0.0514*",="-1.878***",="-0.242**"
="",="(0.0262)",="(0.0210)",="(0.275)",="(0.0857)"

="10.exp#c.urate",="-0.00902",="-0.0344*",="-1.684***",="-0.120"
="",="(0.0219)",="(0.0149)",="(0.212)",="(0.0672)"

="11.exp#c.urate",="-0.00579",="-0.0191",="-1.753***",="-0.175*"
="",="(0.0196)",="(0.0175)",="(0.178)",="(0.0735)"

="12.exp#c.urate",="-0.0202",="-0.0373*",="-1.621***",="-0.144"
="",="(0.0236)",="(0.0167)",="(0.215)",="(0.0721)"

="13.exp#c.urate",="0.0256",="0.0185",="-1.776***",="-0.124"
="",="(0.0201)",="(0.0135)",="(0.275)",="(0.0677)"

="14.exp#c.urate",="-0.00688",="0.00445",="-1.948***",="-0.199*"
="",="(0.0258)",="(0.0143)",="(0.239)",="(0.0800)"

="15.exp#c.urate",="0.0272",="-0.00241",="-1.769***",="-0.0175"
="",="(0.0226)",="(0.0125)",="(0.204)",="(0.0710)"

="16.exp#c.urate",="-0.0135",="-0.0188",="-1.559***",="-0.159"
="",="(0.0204)",="(0.0139)",="(0.205)",="(0.0817)"

="17.exp#c.urate",="0.0248",="0.0223",="-1.649***",="-0.174**"
="",="(0.0171)",="(0.0165)",="(0.164)",="(0.0509)"

="18.exp#c.urate",="0.0126",="0.0158",="-1.793***",="-0.132"
="",="(0.0267)",="(0.0166)",="(0.235)",="(0.0756)"

="19.exp#c.urate",="0.0275",="0.0275",="-1.706***",="-0.0531"
="",="(0.0168)",="(0.0153)",="(0.250)",="(0.0477)"

="20.exp#c.urate",="0.0210",="0.0243",="-1.653***",="-0.216***"
="",="(0.0210)",="(0.0179)",="(0.194)",="(0.0596)"

="21.exp#c.urate",="0.0646**",="0.0519**",="-1.221***",="-0.175**"
="",="(0.0235)",="(0.0182)",="(0.254)",="(0.0583)"

="22.exp#c.urate",="0.0326*",="0.0332*",="-1.721***",="-0.149*"
="",="(0.0129)",="(0.0154)",="(0.177)",="(0.0572)"

="23.exp#c.urate",="0.0600*",="0.0481*",="-1.488***",="-0.129*"
="",="(0.0227)",="(0.0205)",="(0.242)",="(0.0531)"

="24.exp#c.urate",="0.0532*",="0.0458***",="-1.610***",="-0.133"
="",="(0.0223)",="(0.0117)",="(0.268)",="(0.0677)"

="25.exp#c.urate",="0.0438**",="0.0354**",="-1.375***",="-0.123*"
="",="(0.0136)",="(0.0129)",="(0.171)",="(0.0579)"

="26.exp#c.urate",="0.0390*",="0.0281*",="-1.363***",="-0.147*"
="",="(0.0181)",="(0.0126)",="(0.182)",="(0.0599)"

="27.exp#c.urate",="0.0692***",="0.0415*",="-1.212***",="-0.0510"
="",="(0.0196)",="(0.0176)",="(0.178)",="(0.0583)"

="28.exp#c.urate",="0.0350",="0.0245",="-1.210***",="-0.126*"
="",="(0.0188)",="(0.0136)",="(0.273)",="(0.0530)"

="29.exp#c.urate",="0.0561**",="0.0349**",="-1.479***",="0.0279"
="",="(0.0165)",="(0.0113)",="(0.210)",="(0.0419)"

="30.exp#c.urate",="0.0463*",="0.0304*",="-1.469***",="-0.00529"
="",="(0.0180)",="(0.0119)",="(0.190)",="(0.0512)"
